State,City,Category,Clothing Type,Store Number,Postal Code,Store Type,Store Open Date,Selling Area Size (sq ft),Store Manager,Manager ID,Operating Hours,Staff Count,Parking Availability,Order ID,Order Date,Month,Customer ID,Customer Name,Product ID,Price,Quantity,Sales Profit
Andhra Pradesh,Visakhapatnam,Women,Jackets,12,420852,Owned,30-07-2024,1200,Matthew Clark MD,M22,10 AM - 9 PM,4,Available,65174,06-10-2024,October,951069,Corey Nichols,786,2964,2,2371.2
Andhra Pradesh,Visakhapatnam,Women,Tops,88,410719,Rented,06-09-2022,1100,Stephanie King,M55,9 AM - 8 PM,11,Not Available,85924,14-02-2024,February,658203,Henry Byrd,732,1809,2,1447.2
Andhra Pradesh,Visakhapatnam,Men,Shoes,10,400259,Owned,19-06-2023,1400,Rodney Flowers,M29,10 AM - 7 PM,6,Available,38044,13-11-2024,November,691171,Joel Allen,510,2134,5,4268
Andhra Pradesh,Visakhapatnam,Men,Skirts,26,438930,Rented,27-05-2023,1200,Earl Smith,M81,9 AM - 8 PM,18,Not Available,16135,09-07-2024,July,444463,Wayne Jones,979,1186,2,948.8
Andhra Pradesh,Visakhapatnam,Kids,Shoes,82,428780,Rented,20-03-2024,1200,Jon Adams DDS,M86,9 AM - 8 PM,13,Available,53704,02-02-2024,February,394771,Mindy Barry,961,2090,5,4180
Andhra Pradesh,Visakhapatnam,Women,Pants,29,439146,Owned,08-02-2021,1000,Jennifer Wolf,M20,11 AM - 8 PM,9,Available,99451,15-04-2024,April,442959,Christopher Estes,640,681,3,817.2
Andhra Pradesh,Visakhapatnam,Men,Jeans,62,415242,Owned,06-12-2021,1400,Monique Parrish,M51,11 AM - 8 PM,9,Not Available,31634,20-02-2024,February,605668,Andrew Cox,998,2256,4,3609.6
Andhra Pradesh,Visakhapatnam,Women,T-shirts,3,400255,Owned,08-01-2021,1400,Jose Franklin,M86,10 AM - 7 PM,16,Available,41633,02-06-2024,June,923969,Andrea Combs,836,2623,4,4196.8
Andhra Pradesh,Visakhapatnam,Kids,Sweaters,70,436699,Owned,05-03-2022,1200,Daniel Gomez,M85,10 AM - 9 PM,19,Not Available,77148,23-11-2024,November,181601,Kathleen Roberts,944,2831,2,2264.8
Andhra Pradesh,Visakhapatnam,Men,Sweaters,21,410764,Rented,01-05-2021,950,Anthony Collins,M12,10 AM - 9 PM,7,Available,48503,26-09-2024,September,133260,Brittney Barton,524,1411,1,564.4
Andhra Pradesh,Visakhapatnam,Kids,Jeans,78,428926,Rented,02-02-2024,950,Charles Martin,M1,9 AM - 8 PM,17,Available,16525,21-10-2024,October,486717,Michael Bennett,934,2856,5,5712
Andhra Pradesh,Visakhapatnam,Kids,T-shirts,16,413856,Owned,11-06-2023,1200,Mary Jackson,M33,9 AM - 8 PM,13,Not Available,29725,22-01-2024,January,198860,Steven Taylor,432,1106,4,1769.6
Andhra Pradesh,Visakhapatnam,Women,Skirts,96,416709,Owned,28-08-2022,950,Victoria Gonzalez,M10,10 AM - 9 PM,3,Available,43730,26-05-2024,May,488756,Tina Holland,806,2587,6,6208.8
Andhra Pradesh,Visakhapatnam,Women,Jackets,10,400283,Rented,15-02-2022,1000,Margaret Ortega,M74,9 AM - 8 PM,15,Available,27950,23-05-2024,May,137366,Joann Dickerson,774,1973,8,6313.6
Andhra Pradesh,Visakhapatnam,Women,Sweaters,59,430422,Owned,05-01-2022,1000,Anthony Jackson,M17,11 AM - 8 PM,16,Not Available,53887,01-11-2024,November,124535,Jeremy Hill,569,1267,8,4054.4
Andhra Pradesh,Visakhapatnam,Women,Jeans,26,433537,Owned,23-11-2024,950,Dr. Deanna Garrett,M59,10 AM - 7 PM,16,Not Available,14766,26-01-2024,January,293111,Kelly Hughes,768,2987,8,9558.4
Andhra Pradesh,Visakhapatnam,Women,Tops,24,418607,Owned,27-07-2023,1400,Justin Miller,M22,9 AM - 8 PM,9,Available,62387,27-10-2024,October,901975,Daniel Norton,409,1266,8,4051.2
Andhra Pradesh,Visakhapatnam,Women,Shirts,68,424414,Owned,28-06-2021,1000,Daniel Fowler,M40,9 AM - 8 PM,18,Available,96586,19-10-2024,October,669382,Marvin Lucero,674,1729,5,3458
Andhra Pradesh,Visakhapatnam,Women,Dresses,72,404887,Rented,03-01-2023,950,Thomas Blevins,M92,10 AM - 7 PM,8,Available,64442,09-09-2024,September,117912,Donna Lopez,539,1053,2,842.4
Andhra Pradesh,Visakhapatnam,Kids,Shirts,9,416688,Rented,30-11-2024,1200,Angelica Wood,M30,10 AM - 7 PM,18,Available,27484,11-10-2024,October,318632,Julie Perez,649,2200,8,7040
Andhra Pradesh,Visakhapatnam,Women,Skirts,73,411230,Rented,11-07-2021,1300,Megan Lee,M33,10 AM - 7 PM,17,Not Available,72528,17-08-2024,August,680535,Donald Johnson,377,817,7,2287.6
Andhra Pradesh,Visakhapatnam,Women,Skirts,23,431459,Rented,12-06-2021,1100,Gabriel Rodriguez,M12,10 AM - 7 PM,6,Available,88370,01-04-2024,April,694855,Crystal Phillips,704,820,2,656
Andhra Pradesh,Visakhapatnam,Kids,Jackets,13,423549,Owned,19-08-2022,1200,Anthony Guzman,M70,10 AM - 9 PM,20,Available,92658,15-10-2024,October,961075,Marc Hill,754,1099,3,1318.8
Andhra Pradesh,Visakhapatnam,Kids,T-shirts,83,427109,Owned,06-11-2022,1300,Michelle Walker,M73,10 AM - 9 PM,19,Available,89266,11-05-2024,May,320476,Douglas Cardenas,227,2911,3,3493.2
Andhra Pradesh,Visakhapatnam,Women,Skirts,43,405912,Owned,06-05-2020,1400,Anthony Wilson,M77,10 AM - 9 PM,11,Available,50791,01-06-2024,June,217517,Vanessa Miller,552,2832,7,7929.6
